id,date,portfolio_equity,cash,spy_close,spy_return_pct,port_return_pct,sharpe_running,max_drawdown,open_positions,daily_halted
1,2026-06-26,100000.0,100000.0,734.3,0.25954133003996627,0.0,0.0,0.0,1,0
2,2026-06-27,100000.0,100000.0,728.99,0.24222956853656874,0.0,0.0,0.0,1,0
3,2026-06-29,99971.1,65328.81,741.0,0.24705486368226182,-0.0002889999999999837,0.0,0.0003,2,0
4,2026-06-30,100036.42,84963.15,746.77,0.2553921156594099,0.0003641999999999257,0.0,0.0003,3,0
5,2026-07-01,100163.15,75090.87,745.76,0.2536942086240228,0.001631500000000008,8.241,0.0003,5,0
6,2026-07-02,100286.34,75090.85,744.78,0.252046734470875,0.0028634000000000714,11.25,0.0003,5,0
7,2026-07-03,100411.24,75090.85,744.78,0.252046734470875,0.004112400000000127,13.706,0.0003,5,0
8,2026-07-06,99605.54,3486.95,751.28,0.28844603748992426,-0.003944600000000076,-2.505,0.008,6,0
9,2026-07-07,98654.1,1851.54,748.725,0.292889088428796,-0.013458999999999888,-5.291,0.0185,9,0
