id,symbol,side,qty,entry_price,stop_price,entry_time,exit_price,exit_time,pnl,pnl_pct,status,signal_id,notes,initial_stop_distance,high_water_price
2,V,long,14.58491337,342.722574,339.2953,2026-06-29T14:08:05.861279+00:00,,,,,open,82,,,
3,V,long,14.59393316,342.6,339.174,2026-06-29T15:08:50.000630+00:00,342.0,2026-06-29T20:45:18.086584+00:00,-8.76,-0.18,closed,86, [trimmed 6/29 over-concentration],,
4,SPY,long,6.78207523,737.22,729.8478,2026-06-29T15:08:51.615337+00:00,,,,,open,88,,,
5,V,long,14.28225,350.0,346.5,2026-06-29T16:09:21.985761+00:00,342.0,2026-06-29T20:45:18.086584+00:00,-114.26,-2.29,closed,91, [trimmed 6/29 over-concentration],,
6,V,long,14.32939979,341.49,338.0751,2026-06-29T17:09:51.122171+00:00,342.0,2026-06-29T20:45:18.086584+00:00,7.31,0.15,closed,94, [trimmed 6/29 over-concentration],,
7,V,long,14.61340423,342.28,338.8572,2026-06-29T18:10:28.670443+00:00,342.0,2026-06-29T20:45:18.086584+00:00,-4.09,-0.08,closed,99, [trimmed 6/29 over-concentration],,
8,V,long,14.3380747,342.25,338.8275,2026-06-29T19:11:11.946323+00:00,342.0,2026-06-29T20:45:18.086584+00:00,-3.58,-0.07,closed,102, [trimmed 6/29 over-concentration],,
9,SOL/USD,long,67.4294756,74.11808726,73.3769,2026-06-30T05:56:06.643740+00:00,,,,,open,205,,,
10,GLW,long,22.46752003,223.46,221.2254,2026-07-01T15:31:36.847422+00:00,221.029347,2026-07-01T15:50:05.568390+00:00,-54.61,-1.0877,stopped,889,,,
11,DDOG,long,18.0,268.38,265.6962,2026-07-01T22:19:40.983357+00:00,,,,,open,1205,,,
12,ON,long,52.0,95.9,94.941,2026-07-01T22:53:58.222439+00:00,,,,,open,1235,,,
13,SPY,core,39.14781625,751.0,,2026-07-06T17:18:43.076753+00:00,,,,,open,,,,
14,SCHD,long,5.58279595,32.59,32.0088,2026-07-07T14:19:25.124384+00:00,,,,,open,2140,,0.5812,32.7
15,IWM,long,0.47277776,296.038,288.6289,2026-07-07T14:19:27.689208+00:00,,,,,open,2142,,7.4091,297.62
16,VTI,long,0.38039269,369.222,362.5154,2026-07-07T14:57:32.748392+00:00,,,,,open,2146,,6.7066,370.38
